,entity_name_digi,entity_name,value,cor_value,is_equal,is_substring,sequence_matcher,levenshtein_dist,category,pdf_name,word_len,levenshtein_dist_perc,ocr_mistake,ner_mistake
16,recipient_address,recipient_address,"Trebesov 1 , 516 01 Trebesov","Trebesov 1,516 01 Trebesov",0,0,0.9629629629629629,2,text,1933338,28,0.07142857142857142,True,False
17,recipient_tax_id,recipient_dic,CZ25947672,CZ25947672,1,1,1.0,0,code,1933338,10,0.0,False,False
18,recipient_name,recipient_name,MATRIX a.s.,MATRIX a.s.,1,1,1.0,0,text,1933338,11,0.0,False,False
19,sender_address,sender_address,V Parku 2343/24 148 00 Praha 4 Česká Republika,148 00 Praha 4,0,1,0.4666666666666667,32,text,1933338,46,0.6956521739130435,True,False
20,sender_address,sender_address,V Parku 2343/24 14800 Praha 4 Česká Republika,V Parku 2343/24 14800 Praha 4 Česká Republika,1,1,1.0,0,text,1933338,45,0.0,False,False
21,sender_address,sender_address,V Parku 2343/24 14800 Praha 4 Česká Republika,V Parku 2343/24 14800 Praha 4 Česká Republika,1,1,1.0,0,text,1933338,45,0.0,False,False
22,sender_tax_id,sender_dic,CZ41195698,CZ41195698,1,1,1.0,0,code,1933338,10,0.0,False,False
23,sender_tax_id,sender_dic,CZ41195698,CZ41195698,1,1,1.0,0,code,1933338,10,0.0,False,False
24,sender_tax_id,sender_dic,CZ41195698,CZ41195698,1,1,1.0,0,code,1933338,10,0.0,False,False
25,sender_register_id,sender_ic,41195698,41195698,1,1,1.0,0,code,1933338,8,0.0,False,False
26,sender_register_id,sender_ic,41195698,41195698,1,1,1.0,0,code,1933338,8,0.0,False,False
27,sender_name,sender_name,3M Česko; spol. s r.o.,"3M Česko, spol. s.r.o.",0,0,0.9090909090909091,2,text,1933338,22,0.09090909090909091,True,False
28,sender_name,sender_name,"3M Česko, spol. s r.o.",3M Česko; spol. s r.o,0,0,0.9302325581395349,2,text,1933338,22,0.09090909090909091,True,False
29,sender_name,sender_name,"3M Česko, spol. s r.o.",3M Česko;,0,0,0.5161290322580645,14,text,1933338,22,0.6363636363636364,True,False
30,tax_detail_base,tax_detail_base,1224.16,1224.16,1,1,1.0,0,amount,1933338,7,0.0,False,False
31,tax_detail_tax,tax_detail_tax,257.07,257.07,1,1,1.0,0,amount,1933338,6,0.0,False,False
32,tax_rate,tax_rate,21,21,1,1,1.0,0,misc,1933338,2,0.0,False,False
33,total_base,total_amount_base,1224.16,1224.16,1,1,1.0,0,amount,1933338,7,0.0,False,False
34,total_due,total_amount_due,1481.23,1481.23,1,1,1.0,0,amount,1933338,7,0.0,False,False
35,total_due,total_amount_due,1481.23,1481.23,1,1,1.0,0,amount,1933338,7,0.0,False,False
36,total_incl_tax,total_amount_incl_tax,1481.23,1481.23,1,1,1.0,0,amount,1933338,7,0.0,False,False
37,total_tax,total_amount_tax,257.07,257.07,1,1,1.0,0,amount,1933338,6,0.0,False,False
38,var_sym,var_sym,9202753902,9202753902,1,1,1.0,0,code,1933338,10,0.0,False,False
0,bank_account,bank_account,2111955802/2700,2111955802/2700,1,1,1.0,0,code,1938547,15,0.0,False,False
1,bic,bic,BACXCZPP,BACXCZPP,1,1,1.0,0,code,1938547,8,0.0,False,False
2,currency,currency,EUR,(EUR):,0,1,0.6666666666666666,3,misc,1938547,3,1.0,True,False
3,due_date,date_due,2020-05-06,2020-05-06,1,1,1.0,0,date,1938547,10,0.0,False,False
4,issue_date,date_issue,2020-04-22,2020-04-22,1,1,1.0,0,date,1938547,10,0.0,False,False
5,taxable_supply_date,date_uzp,2020-04-22,2020-04-22,1,1,1.0,0,date,1938547,10,0.0,False,False
6,description,description,PÁS BRUSNÝ ÚZKÝ,,0,1,0.0,15,text,1938547,15,1.0,False,True
7,exchange_rate,exchange_rate,"1/27,4500","1/27 , ,4500",0,0,0.8571428571428571,3,misc,1938547,9,0.3333333333333333,True,False
8,iban,iban,CZ7927000000002111955802,CZ7927000000002111955802,1,1,1.0,0,code,1938547,24,0.0,False,False
9,invoice_id,invoice_id,2020012669,2020012669,1,1,1.0,0,code,1938547,10,0.0,False,False
10,order_id,order_id,031200206,031200206,1,1,1.0,0,code,1938547,9,0.0,False,False
11,recipient_address,recipient_address,"516 01  Rychnov nad Kněžnou, Třebešov č.p. 1",516 01 Rychnov nad Kněžnou; Třebešov č.p. 1,0,0,0.9655172413793104,2,text,1938547,44,0.045454545454545456,True,False
12,recipient_address,recipient_address,Třebešov 1 516 01 RYCHNOV NAD KNĚŽNOU,516 01 RYCHNOV NAD KNĚŽNOU,0,1,0.8253968253968254,11,text,1938547,37,0.2972972972972973,True,False
13,recipient_tax_id,recipient_dic,CZ25947672,CZ25947672,1,1,1.0,0,code,1938547,10,0.0,False,False
14,recipient_register_id,recipient_ic,25947672,25947672,1,1,1.0,0,code,1938547,8,0.0,False,False
15,recipient_name,recipient_name,MATRIX a.s.,MATRIX a.s.,1,1,1.0,0,text,1938547,11,0.0,False,False
16,sender_address,sender_address,"CZ 165 00 PRAHA 6, NOVOSUCHDOLSKÁ 411/40","CZ 165 00 PRAHA 6, NOVOSUCHDOLSKÁ 411/40",1,1,1.0,0,text,1938547,40,0.0,False,False
17,sender_tax_id,sender_dic,CZ45273545,CZ45273545,1,1,1.0,0,code,1938547,10,0.0,False,False
18,sender_register_id,sender_ic,45273545,45273545,1,1,1.0,0,code,1938547,8,0.0,False,False
19,sender_name,sender_name,AB EFEKT SPOL. S R. O.,,0,1,0.0,22,text,1938547,22,1.0,False,True
20,total_base,total_amount_base,15.96,15.96,1,1,1.0,0,amount,1938547,5,0.0,False,False
21,total_due,total_amount_due,19.31,19.31,1,1,1.0,0,amount,1938547,5,0.0,False,False
22,total_incl_tax,total_amount_incl_tax,19.31,19.31,1,1,1.0,0,amount,1938547,5,0.0,False,False
23,total_rounding,total_amount_rounding,0.00,0.00,1,1,1.0,0,amount,1938547,4,0.0,False,False
24,total_tax,total_amount_tax,3.35,3.35,1,1,1.0,0,amount,1938547,4,0.0,False,False
25,var_sym,var_sym,2020012669,20200122669,0,0,0.9523809523809523,1,code,1938547,10,0.1,True,False
0,bank_account,bank_account,254817264/0300,254817264/0300,1,1,1.0,0,code,1942221,14,0.0,False,False
1,bic,bic,CEKOCZPP,CEKOCZPP,1,1,1.0,0,code,1942221,8,0.0,False,False
2,currency,currency,CZK,Kč,0,0,0.4,3,misc,1942221,3,1.0,True,False
3,due_date,date_due,2020-06-05,2020-06-05,1,1,1.0,0,date,1942221,10,0.0,False,False
4,issue_date,date_issue,2020-04-06,2020-04-06,1,1,1.0,0,date,1942221,10,0.0,False,False
5,taxable_supply_date,date_uzp,2020-04-06,2020-04-06,1,1,1.0,0,date,1942221,10,0.0,False,False
6,description,description,Zboží podle dodacího listu číslo 437,dodacího listu číslo 437,0,1,0.8,12,text,1942221,36,0.3333333333333333,True,False
7,iban,iban,CZ6903000000000254817264,CZ6903000000000254851726,0,0,0.9583333333333334,2,code,1942221,24,0.08333333333333333,True,False
8,invoice_id,invoice_id,1200441,1200441,1,1,1.0,0,code,1942221,7,0.0,False,False
9,recipient_address,recipient_address,Divize autocentrum Lipovka 142 516 01 Rychnov nad Kněžnou Česká republika,516 01 Rychnov nad Kněžnou,0,1,0.5252525252525253,47,text,1942221,73,0.6438356164383562,True,False
10,recipient_address,recipient_address,Divize autocentrum Lipovka 142 516 01 Rychnov nad Kněžnou,516 01 Rychnov nad Kněžnou,0,1,0.6265060240963856,31,text,1942221,57,0.543859649122807,True,False
11,recipient_tax_id,recipient_dic,CZ25947672,CZ25947672,1,1,1.0,0,code,1942221,10,0.0,False,False
12,recipient_register_id,recipient_ic,25947672,125947672,0,1,0.9411764705882353,1,code,1942221,8,0.125,True,False
13,recipient_name,recipient_name,"MATRIX, a.s.","MATRIX, a.s.",1,1,1.0,0,text,1942221,12,0.0,False,False
14,recipient_name,recipient_name,"MATRIX, a.s.","MATRIX, a.s.",1,1,1.0,0,text,1942221,12,0.0,False,False
15,recipient_name,recipient_name,MATRIX a.s.,,0,1,0.0,11,text,1942221,11,1.0,False,True
16,sender_address,sender_address,Beskydská 704 738 02 Frýdek Místek,738 02 Frýdek Místek,0,1,0.7407407407407407,14,text,1942221,34,0.4117647058823529,True,False
17,sender_tax_id,sender_dic,CZ60197323,CZ60197322,0,0,0.9,1,code,1942221,10,0.1,True,False
18,sender_register_id,sender_ic,60197323,60197323,1,1,1.0,0,code,1942221,8,0.0,False,False
19,sender_name,sender_name,ColorCar a.s.,ColorCar a.s.,1,1,1.0,0,text,1942221,13,0.0,False,False
20,sender_name,sender_name,COLORCAR A.S.,,0,1,0.0,13,text,1942221,13,1.0,False,True
21,total_base,total_amount_base,16699.98,16699.98,1,1,1.0,0,amount,1942221,8,0.0,False,False
22,total_due,total_amount_due,20206.98,20206.98,1,1,1.0,0,amount,1942221,8,0.0,False,False
23,total_tax,total_amount_tax,3507.00,,0,1,0.0,7,amount,1942221,7,1.0,False,True
0,bank_account,bank_account,7739342/0800,7739342/0800,1,1,1.0,0,code,1942226,12,0.0,False,False
1,currency,currency,CZK,Kč,0,0,0.4,3,misc,1942226,3,1.0,True,False
2,due_date,date_due,2020-05-12,2020-05-12,1,1,1.0,0,date,1942226,10,0.0,False,False
3,issue_date,date_issue,2020-04-21,2020-04-21,1,1,1.0,0,date,1942226,10,0.0,False,False
4,taxable_supply_date,date_uzp,2020-04-20,2021-04-20,0,0,0.9,1,date,1942226,10,0.1,True,False
5,iban,iban,CZ7708000000000007739342,CZ7708000000000007739342,1,1,1.0,0,code,1942226,24,0.0,False,False
6,invoice_id,invoice_id,52201101,52201101,1,1,1.0,0,code,1942226,8,0.0,False,False
7,recipient_address,recipient_address,Třebešov 1 51601 Rychnov nad Kněžnou,51601 Rychnov nad Kněžnou,0,1,0.819672131147541,11,text,1942226,36,0.3055555555555556,True,False
8,recipient_tax_id,recipient_dic,CZ25947672,CZ25947672,1,1,1.0,0,code,1942226,10,0.0,False,False
9,recipient_register_id,recipient_ic,25947672,25947672,1,1,1.0,0,code,1942226,8,0.0,False,False
10,recipient_name,recipient_name,MATRIX. a.s.,MATRIX. a.s.,1,1,1.0,0,text,1942226,12,0.0,False,False
11,sender_address,sender_address,Dvořákova ul. 48 517 54 Vamberk,Dvořákova ul. 48,0,1,0.6808510638297872,15,text,1942226,31,0.4838709677419355,True,False
12,sender_tax_id,sender_dic,CZ48152200,CZ48152200,1,1,1.0,0,code,1942226,10,0.0,False,False
13,sender_register_id,sender_ic,48152200,48152200,1,1,1.0,0,code,1942226,8,0.0,False,False
14,sender_name,sender_name,"HDB , s. r. o.","HDB , S. r.0.",0,0,0.8148148148148148,3,text,1942226,14,0.21428571428571427,True,False
15,total_base,total_amount_base,15108.35,,0,1,0.0,8,amount,1942226,8,1.0,False,True
16,total_due,total_amount_due,18281.10,18281.10,1,1,1.0,0,amount,1942226,8,0.0,False,False
17,total_incl_tax,total_amount_incl_tax,18281.10,18281.10,1,1,1.0,0,amount,1942226,8,0.0,False,False
18,total_rounding,total_amount_rounding,0.00,0.00,1,1,1.0,0,amount,1942226,4,0.0,False,False
19,total_tax,total_amount_tax,3172.75,,0,1,0.0,7,amount,1942226,7,1.0,False,True
0,bank_account,bank_account,27000297/0100,27000297/0100,1,1,1.0,0,code,1942227,13,0.0,False,False
1,bank_account,bank_account,35-5695220247/0100,35-5695220247/0100,1,1,1.0,0,code,1942227,18,0.0,False,False
2,bank_account,bank_account,27000297/0100,27000297/0100,1,1,1.0,0,code,1942227,13,0.0,False,False
3,bic,bic,KOMBCZPP,KOMBCZPP,1,1,1.0,0,code,1942227,8,0.0,False,False
4,currency,currency,CZK,,0,1,0.0,3,misc,1942227,3,1.0,False,True
5,issue_date,date_issue,2020-01-28,2020-01-28,1,1,1.0,0,date,1942227,10,0.0,False,False
6,description,description,PŘEDPIS ZÁLOHOVÝCH PLATEB,,0,1,0.0,25,text,1942227,25,1.0,False,True
7,iban,iban,CZ4401000000000027000297,CZ4401000000000027000297,1,1,1.0,0,code,1942227,24,0.0,False,False
8,invoice_id,invoice_id,6400025499,,0,1,0.0,10,code,1942227,10,1.0,False,True
9,recipient_address,recipient_address,Třebešov 1 516 01 Rychnov nad Kněžnou Česká republika,516 01 Rychnov nad Kněžnou,0,1,0.6582278481012658,27,text,1942227,53,0.5094339622641509,True,False
10,recipient_address,recipient_address,Třebešov 1 516 01 Třebešov,516 01 Třebešov,0,1,0.7317073170731707,11,text,1942227,26,0.4230769230769231,True,False
11,recipient_tax_id,recipient_dic,CZ25947672,CZ25947672,1,1,1.0,0,code,1942227,10,0.0,False,False
12,recipient_register_id,recipient_ic,25947672,25947672,1,1,1.0,0,code,1942227,8,0.0,False,False
13,recipient_name,recipient_name,MATRIX a.s.,,0,1,0.0,11,text,1942227,11,1.0,False,True
14,recipient_name,recipient_name,MATRIX a.s.,,0,1,0.0,11,text,1942227,11,1.0,False,True
15,sender_address,sender_address,Vaníčkova 1594/1 400 01 Ústí nad Labem,400 01 Ústí nad Labem,0,1,0.711864406779661,17,text,1942227,38,0.4473684210526316,True,False
16,sender_address,sender_address,"Vaníčkova 1594/1, 400 01 Ústí nad Labem","1594/1, 400 01 Ústí nad Labem",0,1,0.8529411764705882,10,text,1942227,39,0.2564102564102564,True,False
17,sender_tax_id,sender_dic,CZ25458302,CZ25458302,1,1,1.0,0,code,1942227,10,0.0,False,False
18,sender_tax_id,sender_dic,CZ25458302,CZ25458302,1,1,1.0,0,code,1942227,10,0.0,False,False
19,sender_register_id,sender_ic,25458302,25458302,1,1,1.0,0,code,1942227,8,0.0,False,False
20,sender_register_id,sender_ic,25458302,25458302,1,1,1.0,0,code,1942227,8,0.0,False,False
21,sender_name,sender_name,"CENTROPOL ENERGY, a.s.","CENTROPOL ENERGY, a.s.",1,1,1.0,0,text,1942227,22,0.0,False,False
22,sender_name,sender_name,"CENTROPOL ENERGY, a.s.",,0,1,0.0,22,text,1942227,22,1.0,False,True
23,var_sym,var_sym,4033660000,4033660000,1,1,1.0,0,code,1942227,10,0.0,False,False
0,bank_account,bank_account,19-2271190247/0100,19-2271190247/0100,1,1,1.0,0,code,1942228,18,0.0,False,False
1,bic,bic,KOMBCZPPXXX,KOMBCZPPXXX,1,1,1.0,0,code,1942228,11,0.0,False,False
2,currency,currency,CZK,,0,1,0.0,3,misc,1942228,3,1.0,False,True
3,due_date,date_due,2020-04-14,202-04-14,0,0,0.9473684210526315,1,date,1942228,10,0.1,True,False
4,issue_date,date_issue,2020-03-31,202-03-31,0,0,0.9473684210526315,1,date,1942228,10,0.1,True,False
5,taxable_supply_date,date_uzp,2020-03-31,202-03-31,0,0,0.9473684210526315,1,date,1942228,10,0.1,True,False
6,description,description,Služba: VPN připojení ŠKODA AUTO a.s. Naše reference: Smlouva (Objednávka) Smlouva Vaše reference: Kontrakt SAP: 203600017,,0,1,0.0,122,text,1942228,122,1.0,False,True
7,iban,iban,CZ9001000000192271190247,CZ9001000000192271190247,1,1,1.0,0,code,1942228,24,0.0,False,False
8,invoice_id,invoice_id,8851059119,8851059119,1,1,1.0,0,code,1942228,10,0.0,False,False
9,recipient_address,recipient_address,Třebešov čp. 1 516 Rychnov nad Kněžnou 01  CZ - Česko,516 01 Rychnov nad Kněžnou,0,0,0.5822784810126582,31,text,1942228,53,0.5849056603773585,True,False
10,recipient_address,recipient_address,Trebešov čp. 1 516 01 Rychnov nad Kněžnou,516 01 Rychnov nad Knéžnou,0,0,0.746268656716418,16,text,1942228,41,0.3902439024390244,True,False
11,recipient_tax_id,recipient_dic,CZ25947672,C725947672,0,0,0.9,1,code,1942228,10,0.1,True,False
12,recipient_register_id,recipient_ic,25947672,25947672,1,1,1.0,0,code,1942228,8,0.0,False,False
13,recipient_name,recipient_name,MATRIX a.s.,MATRIX a.s.,1,1,1.0,0,text,1942228,11,0.0,False,False
14,recipient_name,recipient_name,MATRIX a.s.,MATRIX a.s.,1,1,1.0,0,text,1942228,11,0.0,False,False
15,sender_address,sender_address,"Tomíčkova 2124/1, 148 00, Praha 4","Tomíckova 2124/ 1 , 148 00, Praha 4",0,0,0.9411764705882353,3,text,1942228,33,0.09090909090909091,True,False
16,sender_address,sender_address,"Tomíčkova 2144/1 148 00, Praha 4 Česká republika","148 00 , Praha 4",0,0,0.46875,34,text,1942228,48,0.7083333333333334,True,False
17,sender_tax_id,sender_dic,CZ64949681,CZ64949681,1,1,1.0,0,code,1942228,10,0.0,False,False
18,sender_tax_id,sender_dic,CZ64949681,CZ64949681,1,1,1.0,0,code,1942228,10,0.0,False,False
19,sender_register_id,sender_ic,64949681,64949681,1,1,1.0,0,code,1942228,8,0.0,False,False
20,sender_register_id,sender_ic,64949681,64949681,1,1,1.0,0,code,1942228,8,0.0,False,False
21,sender_name,sender_name,T-Mobile Czech Republic a.s.,T-Mobile Czech Republic a.s.,1,1,1.0,0,text,1942228,28,0.0,False,False
22,sender_name,sender_name,T-Mobile Czech Republic a.s.,,0,1,0.0,28,text,1942228,28,1.0,False,True
23,tax_detail_base,tax_detail_base,2700.00,2700.00,1,1,1.0,0,amount,1942228,7,0.0,False,False
24,tax_rate,tax_rate,21,,0,1,0.0,2,misc,1942228,2,1.0,False,True
25,total_base,total_amount_base,2700.0,2700.0,1,1,1.0,0,amount,1942228,6,0.0,False,False
26,total_due,total_amount_due,3267.0,3267.0,1,1,1.0,0,amount,1942228,6,0.0,False,False
27,total_tax,total_amount_tax,567.0,,0,1,0.0,5,amount,1942228,5,1.0,False,True
28,var_sym,var_sym,8851059119,885105911,0,1,0.9473684210526315,1,code,1942228,10,0.1,True,False
0,bank_account,bank_account,273123794/0300,,0,1,0.0,14,code,1942230,14,1.0,False,True
1,currency,currency,CZK,Kč,0,0,0.4,3,misc,1942230,3,1.0,True,False
2,due_date,date_due,2020-05-06,2020-05-06,1,1,1.0,0,date,1942230,10,0.0,False,False
3,issue_date,date_issue,2020-04-22,2020-04-22,1,1,1.0,0,date,1942230,10,0.0,False,False
4,taxable_supply_date,date_uzp,2020-04-22,2020-04-22,1,1,1.0,0,date,1942230,10,0.0,False,False
5,invoice_id,invoice_id,EP/2020/490,EP/2020/490,1,1,1.0,0,code,1942230,11,0.0,False,False
6,order_id,order_id,2000681,2000681,1,1,1.0,0,code,1942230,7,0.0,False,False
7,recipient_address,recipient_address,Lipovka 142 516 01 Rychnov nad Kněžnou CZ,516 01 Rychnov nad Kněžnou,0,1,0.7761194029850746,15,text,1942230,41,0.36585365853658536,True,False
8,recipient_address,recipient_address,Lipovka 142 516 01 Rychnov nad Kněžnou CZ,516 01 Rychnov nad Kněžnou,0,1,0.7761194029850746,15,text,1942230,41,0.36585365853658536,True,False
9,recipient_tax_id,recipient_dic,CZ25947672,CZ25947672,1,1,1.0,0,code,1942230,10,0.0,False,False
10,recipient_register_id,recipient_ic,25947672,25947672,1,1,1.0,0,code,1942230,8,0.0,False,False
11,recipient_name,recipient_name,MATRIX a.s.,MATRIX a.s.,1,1,1.0,0,text,1942230,11,0.0,False,False
12,recipient_name,recipient_name,MATRIX a.s.,MATRIX a.s.,1,1,1.0,0,text,1942230,11,0.0,False,False
13,sender_address,sender_address,Holandská 464 533 01 Pardubičky (část) CZ,533 01 Pardubičky (část),0,1,0.7384615384615385,17,text,1942230,41,0.4146341463414634,True,False
14,sender_tax_id,sender_dic,CZ28854586,CZ28854586,1,1,1.0,0,code,1942230,10,0.0,False,False
15,sender_register_id,sender_ic,28854586,,0,1,0.0,8,code,1942230,8,1.0,False,True
16,sender_name,sender_name,INPA s.r.o.,INPA s.r.o.,1,1,1.0,0,text,1942230,11,0.0,False,False
17,tax_detail_base,tax_detail_base,550.16,550.16,1,1,1.0,0,amount,1942230,6,0.0,False,False
18,tax_detail_tax,tax_detail_tax,115.53,115.53,1,1,1.0,0,amount,1942230,6,0.0,False,False
19,tax_rate,tax_rate,21,,0,1,0.0,2,misc,1942230,2,1.0,False,True
20,total_base,total_amount_base,550.16,550.16,1,1,1.0,0,amount,1942230,6,0.0,False,False
21,total_due,total_amount_due,665.69,,0,1,0.0,6,amount,1942230,6,1.0,False,True
22,total_tax,total_amount_tax,115.53,115.53,1,1,1.0,0,amount,1942230,6,0.0,False,False
23,var_sym,var_sym,99200490,99200490,1,1,1.0,0,code,1942230,8,0.0,False,False
0,bank_account,bank_account,1000053254/2700,1000053254/2700,1,1,1.0,0,code,1945574,15,0.0,False,False
1,bic,bic,BACXCZPPXXX,BACXCZPPXXX,1,1,1.0,0,code,1945574,11,0.0,False,False
2,currency,currency,CZK,úhradě:CZK,0,1,0.46153846153846156,7,misc,1945574,3,2.3333333333333335,True,False
3,due_date,date_due,2020-05-23,2320522020,0,0,0.4,6,date,1945574,10,0.6,True,False
4,issue_date,date_issue,2020-04-23,,0,1,0.0,10,date,1945574,10,1.0,False,True
5,description,description,Fakturujeme Vám dodávku zboží.,Fakturuj Jeme Vám dodávku zboží .,0,0,0.9523809523809523,3,text,1945574,30,0.1,True,False
6,iban,iban,CZ1927000000001000053254,CZ1927000000001000053254,1,1,1.0,0,code,1945574,24,0.0,False,False
7,invoice_id,invoice_id,37179635,37179635,1,1,1.0,0,code,1945574,8,0.0,False,False
8,recipient_address,recipient_address,čp. 1 516 01 Třebešov,,0,1,0.0,21,text,1945574,21,1.0,False,True
9,recipient_address,recipient_address,čp. 1 516 01 Třebešov,čp . 1,0,0,0.37037037037037035,16,text,1945574,21,0.7619047619047619,True,False
10,recipient_tax_id,recipient_dic,CZ25947672,CZ25947672,1,1,1.0,0,code,1945574,10,0.0,False,False
11,recipient_register_id,recipient_ic,25947672,25947672,1,1,1.0,0,code,1945574,8,0.0,False,False
12,recipient_name,recipient_name,MATRIX a.s.,,0,1,0.0,11,text,1945574,11,1.0,False,True
13,recipient_name,recipient_name,MATRIX a.s.,MATRIX a.s.,1,1,1.0,0,text,1945574,11,0.0,False,False
14,recipient_name,recipient_name,MATRIX a.s.,,0,1,0.0,11,text,1945574,11,1.0,False,True
15,sender_address,sender_address,"tř.Václava  Klementa 869, Mladá Boleslav II, 293 01 Mladá Boleslav, Czech Republic","tr.Václava KlemenLa 8 6 9 , Klada Boleslav II, 29 3 01 Mlada Boleslav, Czech Republic,",0,0,0.9047619047619048,11,text,1945574,82,0.13414634146341464,True,False
16,sender_tax_id,sender_dic,CZ00177041,CZ00177041,1,1,1.0,0,code,1945574,10,0.0,False,False
17,sender_register_id,sender_ic,00177041,00177041,1,1,1.0,0,code,1945574,8,0.0,False,False
18,sender_name,sender_name,ŠKODA AUTO a.s.,SKODA AUTO a.s.,0,0,0.9333333333333333,1,text,1945574,15,0.06666666666666667,True,False
19,sender_name,sender_name,ŠKODA AUTO a.s.,,0,1,0.0,15,text,1945574,15,1.0,False,True
20,total_base,total_amount_base,4886.28,4886.28,1,1,1.0,0,amount,1945574,7,0.0,False,False
21,total_due,total_amount_due,5912.40,5912.40,1,1,1.0,0,amount,1945574,7,0.0,False,False
